Lowest Price (RM),Lowest Price (Normalized),Level of Low Spec Price,Highest Price (RM),Highest Price (Normalized),Level of High Spec Price,Level of Low Spec Price_Cheap,Level of Low Spec Price_Affordable,Level of Low Spec Price_Expensive,Level of High Spec Price_Cheap,Level of High Spec Price_Affordable,Level of High Spec Price_Expensive
309375,0.24343862169246505,Expensive,568927,0.46861975453406995,Expensive,0,0,1,0,0,1
241794,0.18395448360117522,Affordable,286187,0.218211914078068,Affordable,0,1,0,0,1,0
208368,0.15453324390600273,Affordable,208368,0.14929174807238924,Affordable,0,1,0,0,1,0
328800,0.26053631753039735,Expensive,400000,0.3190100591789344,Affordable,0,0,1,0,1,0
304235,0.23891444374616017,Affordable,886552,0.7499233915321516,Expensive,0,1,0,0,0,1
364062,0.29157358654646787,Expensive,364062,0.2871816763172671,Affordable,0,0,1,0,1,0
440745,0.35906921640181744,Expensive,440745,0.355095747300105,Expensive,0,0,1,0,0,1
1168918,1.0,Expensive,1168918,1.0,Expensive,0,0,1,0,0,1
861847,0.7297190960798086,Expensive,861847,0.7280434817264448,Expensive,0,0,1,0,0,1
461271,0.3771360017181314,Expensive,565626,0.46569623369745233,Expensive,0,0,1,0,0,1
95888,0.05552944324445172,Cheap,208888,0.14975228452650652,Affordable,1,0,0,0,1,0
65852,0.029092048537211805,Cheap,65852,0.023072876351275952,Cheap,1,0,0,1,0,0
104000,0.0626695466492037,Affordable,118582,0.0697730440928229,Cheap,0,1,0,1,0,0
100770,0.059826532103179425,Cheap,100770,0.053997899245251606,Cheap,1,0,0,1,0,0
132404,0.08767047084897872,Affordable,174852,0.11960840231047597,Affordable,0,1,0,0,1,0
250283,0.1914264187346737,Affordable,401115,0.31999755561420506,Expensive,0,1,0,0,0,1
68526,0.03144567729760465,Cheap,73226,0.029603637529469904,Cheap,1,0,0,1,0,0
34580,0.0015667386662300924,Cheap,49980,0.009015886736372993,Cheap,1,0,0,1,0,0
439151,0.35766619312430575,Expensive,439151,0.35368402593883014,Expensive,0,0,1,0,0,1
42100,0.008185769435921269,Cheap,53700,0.012310493677365874,Cheap,1,0,0,1,0,0
32800,0.0,Cheap,39800,0.0,Cheap,1,0,0,1,0,0
79200,0.04084082815341364,Cheap,103300,0.056238586223937626,Cheap,1,0,0,1,0,0
149788,0.102971698362318,Affordable,177788,0.12220866198218433,Affordable,0,1,0,0,1,0
443000,0.36105404544246283,Expensive,510343,0.41673500909559497,Expensive,0,0,1,0,0,1
150000,0.10315829869784653,Affordable,150000,0.09759830239177836,Affordable,0,1,0,0,1,0
83082,0.044257726750214325,Cheap,115736,0.06725249265355791,Cheap,1,0,0,1,0,0
